,Database Accession,Database,Gene Symbol,Disease,Variant Type,Pathogenicity,Review Status,Star Level,Submitter,HGVS Normalization Failure Reason,Duplicated
264,RCV000750253,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
144,RCV000051043,ClinVar,ACADVL,Metabolic,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 4,Compound Variant,0
145,RCV000053425,ClinVar,ACADVL,Metabolic,copy number loss,Pathogenic,"criteria provided, single submitter",1,ISCA site 15,Compound Variant,0
146,RCV000133763,ClinVar,ACADVL,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
147,RCV000134970,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
148,RCV000138214,ClinVar,ACADVL,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
149,RCV000138220,ClinVar,ACADVL,Metabolic,copy number gain,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
150,RCV000139216,ClinVar,ACADVL,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
164,RCV001031775,ClinVar,ACADVL,Metabolic,Duplication,Uncertain significance,"criteria provided, single submitter",1,Invitae,Compound Variant,0
174,RCV000134851,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
175,RCV000138531,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
176,RCV000142236,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
156,RCV000665391,ClinVar,ACADVL,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
157,RCV000667548,ClinVar,ACADVL,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
158,RCV000673234,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Counsyl, Invitae",Microsatellite,0
165,RCV000185740,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
166,RCV000666299,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Counsyl, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
167,RCV000671665,ClinVar,ACADVL,Metabolic,Microsatellite,Uncertain significance,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Counsyl, Invitae, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
168,RCV001059445,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Invitae, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
169,RCV001200764,ClinVar,ACADVL,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,"Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
172,RCV000481265,ClinVar,ACADVL,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
173,RCV000610938,ClinVar,ACADVL,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
182,RCV000169528,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Counsyl, Invitae",Microsatellite,0
183,RCV000271659,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Invitae, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
184,RCV000723470,ClinVar,ACADVL,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
185,RCV000724267,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
186,RCV000001693,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: OMIM, Counsyl, Invitae, ARUP Laboratories, Molecular Genetics and Genomics,ARUP Laboratories, Integrated Genetics/Laboratory Corporation of America, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
187,RCV000001694,ClinVar,ACADVL,Metabolic,Microsatellite,Conflicting interpretations of pathogenicity,"criteria provided, conflicting interpretations",1,"Multiple Submitters: OMIM, Counsyl, Invitae, Wong Mito Lab, Molecular and Human Genetics, Baylor College of Medicine",Microsatellite,0
188,RCV000077926,ClinVar,ACADVL,Metabolic,Microsatellite,Pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: EGL Genetic Diagnostics, Eurofins Clinical Diagnostics, GeneDx, ARUP Laboratories, Molecular Genetics and Genomics,ARUP Laboratories",Microsatellite,0
143,RCV000001688,ClinVar,ACADVL,Metabolic,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
151,RCV000207224,ClinVar,ACADVL,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,"Next Generation Diagnostics,Novartis Institutes for BioMedical Research, Inc.",No variant information provided,0
152,RCV000207305,ClinVar,ACADVL,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,"Next Generation Diagnostics,Novartis Institutes for BioMedical Research, Inc.",No variant information provided,0
153,RCV000511786,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
154,RCV000512276,ClinVar,ACADVL,Metabolic,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
155,RCV000626431,ClinVar,ACADVL,Metabolic,copy number loss,drug response,no assertion criteria provided,0,"Oxford Haemato-Oncology Service,Oxford University Hospitals NHS Foundation Trust",No variant information provided,0
159,RCV000677112,ClinVar,ACADVL,Metabolic,Duplication,Likely pathogenic,no assertion criteria provided,0,"Medical Genetics Lab,Policlinico S. Orsola.Malpighi",No variant information provided,0
160,RCV000683866,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
161,RCV000739389,ClinVar,ACADVL,Metabolic,copy number loss,Uncertain significance,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
162,RCV000849961,ClinVar,ACADVL,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
163,RCV001006866,ClinVar,ACADVL,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
170,RCV001259299,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
171,RCV001259300,ClinVar,ACADVL,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
177,RCV000511439,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
178,RCV000512441,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
179,RCV000739320,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
180,RCV000739324,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
181,RCV000739325,ClinVar,ACADVL,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
268,RCV000009635,ClinVar,CPT1A,Metabolic,Deletion,Pathogenic,no assertion criteria provided,0,"Multiple Submitters: OMIM, GeneReviews",Compound Variant,0
275,RCV000135609,ClinVar,CPT1A,Metabolic,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
276,RCV000137992,ClinVar,CPT1A,Metabolic,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
277,RCV000142138,ClinVar,CPT1A,Metabolic,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
6,46850:87,Global_Variome,CPT1A,Metabolic,single nucleotide variant,-,-,-,Marianne Vos (LOVD-team),Incorrect reference base,0
269,RCV000055864,ClinVar,CPT1A,Metabolic,Microsatellite,Pathogenic,no assertion criteria provided,0,GeneReviews,Microsatellite,0
272,RCV000664961,ClinVar,CPT1A,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
273,RCV000669476,ClinVar,CPT1A,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
279,RCV000478640,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
280,RCV000481502,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
281,RCV000483191,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
282,RCV000485445,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
283,RCV000487039,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
284,RCV000604932,ClinVar,CPT1A,Metabolic,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
285,RCV000351021,ClinVar,CPT1A,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
270,RCV000055871,ClinVar,CPT1A,Metabolic,Variation,Pathogenic,no assertion criteria provided,0,GeneReviews,No variant information provided,0
271,RCV000055875,ClinVar,CPT1A,Metabolic,single nucleotide variant,Pathogenic,no assertion criteria provided,0,GeneReviews,No variant information provided,0
274,RCV000843599,ClinVar,CPT1A,Metabolic,Deletion,Benign,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
278,RCV000510219,ClinVar,CPT1A,Metabolic,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
286,RCV000510881,ClinVar,CPT1A,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
287,RCV000511729,ClinVar,CPT1A,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
288,RCV000737348,ClinVar,CPT1A,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
289,RCV000749874,ClinVar,CPT1A,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
192,RCV001032274,ClinVar,CPT2,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
193,RCV001032465,ClinVar,CPT2,Metabolic,Duplication,Uncertain significance,"criteria provided, single submitter",1,Invitae,Compound Variant,0
194,RCV001032720,ClinVar,CPT2,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
195,RCV000544302,ClinVar,CPT2,Metabolic,Deletion,Uncertain significance,"criteria provided, single submitter",1,Invitae,Compound Variant,0
208,RCV000141758,ClinVar,CPT2,Metabolic,copy number gain,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
71,735966:12356,BIPmed_SNPhg19,CPT2,Metabolic,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
196,RCV000409793,ClinVar,CPT2,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
197,RCV000410888,ClinVar,CPT2,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
198,RCV000411956,ClinVar,CPT2,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
199,RCV000635361,ClinVar,CPT2,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
200,RCV000781317,ClinVar,CPT2,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Integrated Genetics/Laboratory Corporation of America,Microsatellite,0
201,RCV001004161,ClinVar,CPT2,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Baylor Genetics,Microsatellite,0
202,RCV001042031,ClinVar,CPT2,Metabolic,Microsatellite,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: Invitae, Integrated Genetics/Laboratory Corporation of America",Microsatellite,0
203,RCV001061642,ClinVar,CPT2,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
204,RCV001070827,ClinVar,CPT2,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
206,RCV001225780,ClinVar,CPT2,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Invitae,Microsatellite,0
189,RCV000009523,ClinVar,CPT2,Metabolic,Indel,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
190,RCV000009525,ClinVar,CPT2,Metabolic,Duplication,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
191,RCV000009527,ClinVar,CPT2,Metabolic,Indel,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
205,RCV001089778,ClinVar,CPT2,Metabolic,Insertion,Pathogenic,"criteria provided, single submitter",1,Invitae,No variant information provided,0
207,RCV000511590,ClinVar,CPT2,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
209,RCV000447334,ClinVar,CPT2,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
210,RCV001005094,ClinVar,CPT2,Metabolic,copy number gain,Likely benign,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
4,RCV001033702,ClinVar,ETFA,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
7,RCV000137079,ClinVar,ETFA,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
12,RCV000141666,ClinVar,ETFA,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
15,RCV000142915,ClinVar,ETFA,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
16,RCV000143019,ClinVar,ETFA,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
6,RCV000534299,ClinVar,ETFA,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
0,RCV000002714,ClinVar,ETFA,Metabolic,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
1,RCV000002715,ClinVar,ETFA,Metabolic,Deletion,Pathogenic,no assertion criteria provided,0,OMIM,No variant information provided,0
2,RCV000738824,ClinVar,ETFA,Metabolic,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
3,RCV000416799,ClinVar,ETFA,Metabolic,copy number loss,Likely benign,"criteria provided, single submitter",1,"Clinical Genetics, Erasmus University Medical Center",No variant information provided,0
5,RCV000844005,ClinVar,ETFA,Metabolic,Deletion,Benign,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
8,RCV000239983,ClinVar,ETFA,Metabolic,copy number gain,Uncertain significance,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
9,RCV000446527,ClinVar,ETFA,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
10,RCV000240526,ClinVar,ETFA,Metabolic,copy number gain,Uncertain significance,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
11,RCV000754167,ClinVar,ETFA,Metabolic,Duplication,Likely pathogenic,"criteria provided, single submitter",1,"Department of Psychiatry,Nagoya University",No variant information provided,0
13,RCV001259710,ClinVar,ETFA,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
